Team,xG,xGA,xG,xGA,xGD,xGD/90
Liverpool,84.07+4.07,33.00+1.00,84.0,33.0,51,1.50
Arsenal,65.76+2.76,32.97+3.97,65.7,32.9,32.8,0.96
Newcastle United,64.77-0.23,50.41+6.41,64.7,50.4,14.3,0.42
Manchester City,66.62+0.62,48.96+5.96,66.6,48.9,17.7,0.52
Chelsea,66.35+7.35,49.25+9.25,66.3,49.2,17.1,0.50
Nottingham Forest,45.95-7.05,48.67+9.67,45.9,48.6,-2.7,-0.08
Aston Villa,61.95+7.95,49.79+0.79,61.9,49.7,12.2,0.36
Fulham,52.26+2.26,41.73-4.27,52.2,41.7,10.5,0.31
Brighton,57.88+1.88,51.83-3.17,57.8,51.8,6,0.18
Bournemouth,66.49+13.49,49.06+8.06,66.4,49.0,17.4,0.51
Brentford,56.29+0.29,55.62+5.62,56.2,55.6,0.6,0.02
Crystal Palace,58.36+15.36,54.09+7.09,58.3,54.0,4.3,0.13
Wolverhampton Wanderers,41.48-9.52,55.64-5.36,41.4,55.6,-14.2,-0.42
Manchester United,50.16+11.16,53.35+6.35,50.1,53.3,-3.2,-0.09
Everton,40.98+6.98,49.10+8.10,40.9,49.1,-8.2,-0.24
Tottenham,61.33-0.67,58.29+2.29,61.3,58.2,3.1,0.09
West Ham,45.46+6.46,61.89+3.89,45.4,61.8,-16.4,-0.48
Ipswich,36.30+3.30,79.85+5.85,36.3,79.8,-43.5,-1.28
Leicester,34.28+7.28,79.47+3.47,34.2,79.4,-45.2,-1.33
Southampton,36.30+11.30,90.07+10.07,36.3,90.0,-53.7,-1.58
Manchester City,89.55-6.45,37.27+3.27,89.5,37.2,52.3,1.38
Arsenal,84.39-6.61,31.78+2.78,84.3,31.7,52.6,1.38
Liverpool,94.79+8.79,47.40+6.40,94.7,47.4,47.3,1.24
Aston Villa,67.42-8.58,65.08+4.08,67.4,65.0,2.4,0.06
Tottenham,73.35-0.65,68.07+7.07,73.3,68.0,5.3,0.14
Chelsea,80.88+3.88,62.60-0.40,80.8,62.6,18.2,0.48
Newcastle United,84.48-0.52,62.46+0.46,84.4,62.4,22,0.58
Manchester United,60.33+3.33,74.76+16.76,60.3,74.7,-14.4,-0.38
West Ham,54.53-5.47,77.91+3.91,54.5,77.9,-23.4,-0.62
Crystal Palace,53.94-3.06,57.99-0.01,53.9,57.9,-4,-0.11
Brighton,61.91+6.91,60.94-1.06,61.9,60.9,1,0.03
Everton,60.75+20.75,60.26+9.26,60.7,60.2,0.5,0.01
Bournemouth,63.76+9.76,65.51-1.49,63.7,65.5,-1.8,-0.05
Fulham,52.81-2.19,66.90+5.90,52.8,66.9,-14.1,-0.37
Wolverhampton Wanderers,50.65+0.65,76.11+11.11,50.6,76.1,-25.5,-0.67
Brentford,64.29+8.29,60.26-4.74,64.2,60.2,4,0.11
Nottingham Forest,52.16+3.16,56.25-10.75,52.1,56.2,-4.1,-0.11
Luton,49.87-2.13,91.65+6.65,49.8,91.6,-41.8,-1.10
Burnley,43.44+2.44,75.72-2.28,43.4,75.7,-32.3,-0.85
Sheffield United,41.31+6.31,85.71-18.29,41.3,85.7,-44.4,-1.17
Manchester City,84.32-9.68,34.21+1.21,84.3,34.2,50.1,1.32
Arsenal,76.51-11.49,45.16+2.16,76.5,45.1,31.4,0.83
Manchester United,71.90+13.90,50.29+7.29,71.9,50.2,21.7,0.57
Newcastle United,76.98+8.98,41.86+8.86,76.9,41.8,35.1,0.92
Liverpool,80.77+5.77,55.77+8.77,80.7,55.7,25,0.66
Brighton,77.72+5.72,50.15-2.85,77.7,50.1,27.6,0.73
Aston Villa,50.00-1.00,53.96+7.96,50.0,53.9,-3.9,-0.10
Tottenham,57.83-12.17,51.66-11.34,57.8,51.6,6.2,0.16
Brentford,59.23+1.23,51.45+5.45,59.2,51.4,7.8,0.21
Fulham,47.98-7.02,71.49+18.49,47.9,71.4,-23.5,-0.62
Crystal Palace,40.72+0.72,51.63+2.63,40.7,51.6,-10.9,-0.29
Chelsea,51.89+13.89,54.02+7.02,51.8,54.0,-2.2,-0.06
Wolverhampton Wanderers,35.13+4.13,62.68+4.68,35.1,62.6,-27.5,-0.72
West Ham,51.21+9.21,55.31+0.31,51.2,55.3,-4.1,-0.11
Bournemouth,40.08+3.08,67.60-3.40,40.0,67.6,-27.6,-0.73
Nottingham Forest,39.57+1.57,68.46+0.46,39.5,68.4,-28.9,-0.76
Everton,48.65+14.65,68.58+11.58,48.6,68.5,-19.9,-0.52
Leicester,48.99-2.01,59.79-8.21,48.9,59.7,-10.8,-0.28
Leeds,47.80-0.20,69.58-8.42,47.8,69.5,-21.7,-0.57
Southampton,39.27+3.27,62.90-10.10,39.2,62.9,-23.7,-0.62
Manchester City,93.40-5.60,25.21-0.79,93.4,25.2,68.2,1.79
Liverpool,93.02-0.98,32.73+6.73,93.0,32.7,60.3,1.59
Chelsea,69.30-6.70,35.12+2.12,69.3,35.1,34.2,0.90
Tottenham,67.95-1.05,43.70+3.70,67.9,43.7,24.2,0.64
Arsenal,63.39+2.39,48.39+0.39,63.3,48.3,15,0.39
Manchester United,57.21+0.21,56.85-0.15,57.2,56.8,0.4,0.01
West Ham,54.98-5.02,53.88+2.88,54.9,53.8,1.1,0.03
Leicester,49.49-12.51,66.11+7.11,49.4,66.1,-16.7,-0.44
Brighton,49.57+7.57,47.21+3.21,49.5,47.2,2.3,0.06
Wolverhampton Wanderers,39.04+1.04,58.48+15.48,39.0,58.4,-19.4,-0.51
Newcastle United,41.53-2.47,62.71+0.71,41.5,62.7,-21.2,-0.56
Crystal Palace,48.84-1.16,41.33-4.67,48.8,41.3,7.5,0.20
Brentford,52.89+4.89,49.50-6.50,52.8,49.5,3.3,0.09
Aston Villa,43.13-8.87,53.10-0.90,43.1,53.1,-10,-0.26
Southampton,47.35+4.35,64.56-2.44,47.3,64.5,-17.2,-0.45
Everton,44.47+1.47,60.69-5.31,44.4,60.6,-16.2,-0.43
Leeds,51.19+9.19,71.31-7.69,51.1,71.3,-20.2,-0.53
Burnley,41.11+7.11,60.22+7.22,41.1,60.2,-19.1,-0.50
Watford,39.34+5.34,67.53-9.47,39.3,67.5,-28.2,-0.74
Norwich,31.51+8.51,80.08-3.92,31.5,80.0,-48.5,-1.28
Manchester City,77.72-5.28,30.61-1.39,77.7,30.6,47.1,1.24
Manchester United,63.17-9.83,41.92-2.08,63.1,41.9,21.2,0.56
Liverpool,72.21+4.21,47.30+5.30,72.2,47.3,24.9,0.66
Chelsea,68.66+10.66,30.90-5.10,68.6,30.9,37.7,0.99
Leicester,58.80-9.20,47.07-2.93,58.8,47.0,11.8,0.31
West Ham,60.34-1.66,49.86+2.86,60.3,49.8,10.5,0.28
Tottenham,56.68-11.32,52.55+7.55,56.6,52.5,4.1,0.11
Arsenal,52.25-2.75,43.23+4.23,52.2,43.2,9,0.24
Leeds,59.26-2.74,63.02+9.02,59.2,63.0,-3.8,-0.10
Everton,49.24+2.24,50.16+2.16,49.2,50.1,-0.9,-0.02
Aston Villa,56.72+1.72,53.25+7.25,56.7,53.2,3.5,0.09
Newcastle United,43.96-2.04,60.02-1.98,43.9,60.0,-16.1,-0.42
Wolverhampton Wanderers,38.62+2.62,52.19+0.19,38.6,52.1,-13.5,-0.36
Crystal Palace,35.29-5.71,61.90-4.10,35.2,61.9,-26.7,-0.70
Southampton,45.28-1.72,58.55-9.45,45.2,58.5,-13.3,-0.35
Brighton,53.82+13.82,39.91-6.09,53.8,39.9,13.9,0.37
Burnley,38.13+5.13,59.06+4.06,38.1,59.0,-20.9,-0.55
Fulham,41.06+14.06,57.64+4.64,41.0,57.6,-16.6,-0.44
West Bromwich Albion,34.97-0.03,74.04-1.96,34.9,74.0,-39.1,-1.03
Sheffield United,33.16+13.16,66.11+3.11,33.1,66.1,-33,-0.87
Liverpool,75.19-9.81,39.57+6.57,75.1,39.5,35.6,0.94
Manchester City,102.21+0.21,37.00+2.00,102.,37.0,65,1.71
Manchester United,66.19+0.19,38.06+2.06,66.1,38.0,28.1,0.74
Chelsea,76.23+7.23,41.09-12.91,76.2,41.0,35.2,0.93
Leicester,61.02-5.98,47.89+6.89,61.0,47.8,13.2,0.35
Tottenham,49.02-11.98,54.13+7.13,49.0,54.1,-5.1,-0.13
Wolverhampton Wanderers,54.22+3.22,37.39-2.61,54.2,37.3,16.9,0.44
Arsenal,50.82-5.18,57.25+9.25,50.8,57.2,-6.4,-0.17
Sheffield United,45.81+6.81,52.04+13.04,45.8,52.0,-6.2,-0.16
Burnley,49.35+6.35,53.84+3.84,49.3,53.8,-4.5,-0.12
Southampton,56.50+5.50,56.59-3.41,56.5,56.5,0,0.00
Everton,53.71+9.71,49.21-6.79,53.7,49.2,4.5,0.12
Newcastle United,36.49-1.51,67.03+9.03,36.4,67.0,-30.6,-0.81
Crystal Palace,34.45+3.45,57.39+7.39,34.4,57.3,-22.9,-0.60
Brighton,47.42+8.42,60.42+6.42,47.4,60.4,-13,-0.34
West Ham,49.07+0.07,68.32+6.32,49.0,68.3,-19.3,-0.51
Aston Villa,45.09+4.09,71.60+4.60,45.0,71.6,-26.6,-0.70
Bournemouth,44.67+4.67,63.29-1.71,44.6,63.2,-18.6,-0.49
Watford,48.56+12.56,59.53-4.47,48.5,59.5,-11,-0.29
Norwich,37.23+11.23,71.61-3.39,37.2,71.6,-34.4,-0.91
Manchester City,93.72-1.28,25.73+2.73,93.7,25.7,68,1.79
Liverpool,79.46-9.54,29.15+7.15,79.4,29.1,50.3,1.32
Chelsea,63.97+0.97,38.11-0.89,63.9,38.1,25.8,0.68
Tottenham,61.75-5.25,49.15+10.15,61.7,49.1,12.6,0.33
Arsenal,64.80-8.20,57.30+6.30,64.8,57.3,7.5,0.20
Manchester United,68.62+3.62,52.30-1.70,68.6,52.3,16.3,0.43
Wolverhampton Wanderers,53.06+6.06,42.69-3.31,53.0,42.6,10.4,0.27
Everton,53.87-0.13,49.31+3.31,53.8,49.3,4.5,0.12
Leicester,52.11+1.11,44.64-3.36,52.1,44.6,7.5,0.20
West Ham,47.96-4.04,65.66+10.66,47.9,65.6,-17.7,-0.47
Watford,51.73-0.27,63.29+4.29,51.7,63.2,-11.5,-0.30
Crystal Palace,50.64-0.36,52.80-0.20,50.6,52.8,-2.2,-0.06
Newcastle United,39.91-2.09,57.55+9.55,39.9,57.5,-17.6,-0.46
Bournemouth,58.81+2.81,62.42-7.58,58.8,62.4,-3.6,-0.09
Burnley,44.74-0.26,66.12-1.88,44.7,66.1,-21.4,-0.56
Southampton,49.67+4.67,59.27-5.73,49.6,59.2,-9.6,-0.25
Brighton,37.03+2.03,62.46+2.46,37.0,62.4,-25.4,-0.67
Cardiff,41.77+7.77,66.50-2.50,41.7,66.5,-24.8,-0.65
Fulham,42.62+8.62,73.59-7.41,42.6,73.5,-30.9,-0.81
Huddersfield,29.00+7.00,67.19-8.81,29.0,67.1,-38.1,-1.00
Manchester City,91.43-14.57,24.51-2.49,91.4,24.5,66.9,1.76
Manchester United,59.04-8.96,43.54+15.54,59.0,43.5,15.5,0.41
Tottenham,68.91-5.09,35.86-0.14,68.9,35.8,33.1,0.87
Liverpool,77.49-6.51,35.75-2.25,77.4,35.7,41.7,1.10
Chelsea,59.16-2.84,34.03-3.97,59.1,34.0,25.1,0.66
Arsenal,72.27-1.73,48.75-2.25,72.2,48.7,23.5,0.62
Burnley,32.77-3.23,52.16+13.16,32.7,52.1,-19.4,-0.51
Everton,43.71-0.29,55.50-2.50,43.7,55.5,-11.8,-0.31
Leicester,50.29-5.71,49.36-10.64,50.2,49.3,0.9,0.02
Newcastle United,44.63+5.63,52.47+5.47,44.6,52.4,-7.8,-0.21
Crystal Palace,56.75+11.75,53.54-1.46,56.7,53.5,3.2,0.08
Bournemouth,39.99-5.01,64.93+3.93,39.9,64.9,-25,-0.66
West Ham,36.80-11.20,58.37-9.63,36.8,58.3,-21.5,-0.57
Watford,45.85+1.85,53.98-10.02,45.8,53.9,-8.1,-0.21
Brighton,37.21+3.21,53.08-0.92,37.2,53.0,-15.8,-0.42
Huddersfield,32.13+4.13,53.22-4.78,32.1,53.2,-21.1,-0.56
Southampton,41.88+4.88,46.56-9.44,41.8,46.5,-4.7,-0.12
Swansea,29.71+1.71,61.83+5.83,29.7,61.8,-32.1,-0.84
Stoke,36.75+1.75,65.54-2.46,36.7,65.5,-28.8,-0.76
West Bromwich Albion,35.18+4.18,48.99-7.01,35.1,48.9,-13.8,-0.36
Chelsea,61.80-23.20,28.62-4.38,61.8,28.6,33.2,0.87
Tottenham,70.07-15.93,33.78+7.78,70.0,33.7,36.3,0.96
Manchester City,79.85-0.15,29.61-9.39,79.8,29.6,50.2,1.32
Liverpool,66.63-11.37,37.65-4.35,66.6,37.6,29,0.76
Arsenal,63.58-13.42,47.07+3.07,63.5,47.0,16.5,0.43
Manchester United,57.57+3.57,31.62+2.62,57.5,31.6,25.9,0.68
Everton,49.63-12.37,45.78+1.78,49.6,45.7,3.9,0.10
Southampton,49.98+8.98,43.08-4.92,49.9,43.0,6.9,0.18
Bournemouth,50.02-4.98,62.99-4.01,50.0,62.9,-12.9,-0.34
West Bromwich Albion,38.21-4.79,47.90-3.10,38.2,47.9,-9.7,-0.26
West Ham,48.25+1.25,59.67-4.33,48.2,59.6,-11.4,-0.30
Leicester,44.34-3.66,51.30-11.70,44.3,51.3,-7,-0.18
Stoke,47.87+6.87,48.67-7.33,47.8,48.6,-0.8,-0.02
Crystal Palace,45.40-4.60,50.03-12.97,45.4,50.0,-4.6,-0.12
Swansea,39.50-5.50,65.13-4.87,39.5,65.1,-25.6,-0.67
Burnley,35.59-3.41,55.27+0.27,35.5,55.2,-19.7,-0.52
Watford,36.25-3.75,52.62-15.38,36.2,52.6,-16.4,-0.43
Hull,33.84-3.16,71.77-8.23,33.8,71.7,-37.9,-1.00
Middlesbrough,30.93+3.93,55.30+2.30,30.9,55.3,-24.4,-0.64
Sunderland,34.22+5.22,65.66-3.34,34.2,65.6,-31.4,-0.83
Leicester,68.42+0.42,45.02+9.02,68.4,45.0,23.4,0.62
Arsenal,73.53+8.53,33.86-2.14,73.5,33.8,39.7,1.04
Tottenham,63.42-5.58,37.08+2.08,63.4,37.0,26.4,0.69
Manchester City,66.20-4.80,37.47-3.53,66.2,37.4,28.8,0.76
Manchester United,45.42-3.58,39.66+4.66,45.4,39.6,5.8,0.15
Southampton,56.20-2.80,44.29+3.29,56.2,44.2,12,0.32
West Ham,54.40-10.60,55.48+4.48,54.4,55.4,-1,-0.03
Liverpool,54.37-8.63,37.88-12.12,54.3,37.8,16.5,0.43
Stoke,42.63+1.63,54.35-0.65,42.6,54.3,-11.7,-0.31
Chelsea,54.48-4.52,44.63-8.37,54.4,44.6,9.8,0.26
Everton,53.98-5.02,54.75-0.25,53.9,54.7,-0.8,-0.02
Swansea,39.96-2.04,53.63+1.63,39.9,53.6,-13.7,-0.36
Watford,43.20+3.20,51.85+1.85,43.2,51.8,-8.6,-0.23
West Bromwich Albion,39.75+5.75,51.94+3.94,39.7,51.9,-12.2,-0.32
Crystal Palace,42.51+3.51,52.94+1.94,42.5,52.9,-10.4,-0.27
Bournemouth,38.71-6.29,53.97-13.03,38.7,53.9,-15.2,-0.40
Sunderland,40.52-7.48,58.85-3.15,40.5,58.8,-18.3,-0.48
Newcastle United,37.61-6.39,55.42-9.58,37.6,55.4,-17.8,-0.47
Norwich,39.19+0.19,58.93-8.07,39.1,58.9,-19.8,-0.52
Aston Villa,26.53-0.47,59.01-16.99,26.5,59.0,-32.5,-0.86
Chelsea,68.64-4.36,31.52-0.48,68.6,31.5,37.1,0.98
Manchester City,75.82-7.18,40.50+2.50,75.8,40.5,35.3,0.93
Arsenal,69.80-1.20,35.72-0.28,69.8,35.7,34.1,0.90
Manchester United,54.21-7.79,39.84+2.84,54.2,39.8,14.4,0.38
Tottenham,52.39-5.61,57.04+4.04,52.3,57.0,-4.7,-0.12
Liverpool,51.70-0.30,38.25-9.75,51.7,38.2,13.5,0.36
Southampton,54.97+0.97,39.11+6.11,54.9,39.1,15.8,0.42
Swansea,40.90-5.10,55.94+6.94,40.9,55.9,-15,-0.39
Stoke,46.26-1.74,47.03+2.03,46.2,47.0,-0.8,-0.02
Crystal Palace,44.76-2.24,45.48-5.52,44.7,45.4,-0.7,-0.02
Everton,44.89-3.11,46.18-3.82,44.8,46.1,-1.3,-0.03
West Ham,46.69+2.69,57.40+10.40,46.6,57.4,-10.8,-0.28
West Bromwich Albion,38.63+0.63,53.75+2.75,38.6,53.7,-15.1,-0.40
Leicester,48.21+2.21,56.39+1.39,48.2,56.3,-8.1,-0.21
Newcastle United,40.22+0.22,51.01-11.99,40.2,51.0,-10.8,-0.28
Sunderland,37.45+6.45,51.46-1.54,37.4,51.4,-14,-0.37
Aston Villa,33.10+2.10,49.71-7.29,33.1,49.7,-16.6,-0.44
Hull,32.79-0.21,46.99-4.01,32.7,46.9,-14.2,-0.37
Burnley,39.37+11.37,57.89+4.89,39.3,57.8,-18.5,-0.49
Queens Park Rangers,45.73+3.73,65.26-7.74,45.7,65.2,-19.5,-0.51
Barcelona,102.98-7.02,28.44+7.44,102.,28.4,73.6,1.94
Real Madrid,95.77-22.23,42.61+4.61,95.7,42.6,53.1,1.40
Atletico Madrid,57.05-9.95,29.07+0.07,57.0,29.0,28,0.74
Valencia,55.06-14.94,39.39+7.39,55.0,39.3,15.7,0.41
Sevilla,69.53-1.47,47.86+2.86,69.5,47.8,21.7,0.57
Villarreal,56.77+8.77,40.70+3.70,56.7,40.7,16,0.42
Athletic Club,45.54+3.54,44.11+3.11,45.5,44.1,1.4,0.04
Celta Vigo,58.89+11.89,51.78+7.78,58.8,51.7,7.1,0.19
Malaga,46.22+4.22,54.13+6.13,46.2,54.1,-7.9,-0.21
Espanyol,43.98-3.02,48.30-2.70,43.9,48.3,-4.4,-0.12
Rayo Vallecano,47.79+1.79,70.43+2.43,47.7,70.4,-22.7,-0.60
Real Sociedad,33.49-10.51,51.16+0.16,33.4,51.1,-17.7,-0.47
Elche,39.61+4.61,58.07-3.93,39.6,58.0,-18.4,-0.48
Getafe,33.97+0.97,53.67-10.33,33.9,53.6,-19.7,-0.52
Levante,35.30+1.30,60.27-6.73,35.3,60.2,-24.9,-0.66
Eibar,29.56-4.44,53.72-1.28,29.5,53.7,-24.2,-0.64
Deportivo La Coruna,37.87+2.87,50.98-9.02,37.8,50.9,-13.1,-0.34
Granada,37.39+8.39,54.28-9.72,37.3,54.2,-16.9,-0.44
Almeria,38.67+3.67,58.87-5.13,38.6,58.8,-20.2,-0.53
Cordoba,29.76+7.76,57.34-10.66,29.7,57.3,-27.6,-0.73
Barcelona,113.60+1.60,34.03+5.03,113.,34.0,79,2.08
Real Madrid,90.45-19.55,45.23+11.23,90.4,45.2,45.2,1.19
Atletico Madrid,54.93-8.07,27.80+9.80,54.9,27.8,27.1,0.71
Villarreal,40.49-3.51,41.63+6.63,40.4,41.6,-1.2,-0.03
Athletic Club,53.90-4.10,45.33+0.33,53.9,45.3,8.6,0.23
Celta Vigo,50.20-0.80,51.98-7.02,50.2,51.9,-1.7,-0.04
Sevilla,62.97+11.97,46.09-3.91,62.9,46.0,16.9,0.44
Malaga,45.75+7.75,45.25+10.25,45.7,45.2,0.5,0.01
Real Sociedad,47.95+2.95,48.04+0.04,47.9,48.0,-0.1,0.00
Real Betis,40.11+6.11,64.39+12.39,40.1,64.3,-24.2,-0.64
Valencia,50.51+4.51,61.69+13.69,50.5,61.6,-11.1,-0.29
Las Palmas,38.68-6.32,59.24+6.24,38.6,59.2,-20.6,-0.54
Eibar,52.92+3.92,50.58-10.42,52.9,50.5,2.4,0.06
Espanyol,46.09+6.09,60.84-13.16,46.0,60.8,-14.8,-0.39
Deportivo La Coruna,43.75-1.25,52.37-8.63,43.7,52.3,-8.6,-0.23
Sporting Gijon,42.57+2.57,60.62-1.38,42.5,60.6,-18.1,-0.48
Granada,41.35-4.65,62.37-6.63,41.3,62.3,-21,-0.55
