Team,xG,xGA,xG,xGA,xGD,xGD/90
Eintracht Frankfurt,60.53-8.47,47.73-5.27,60.5,47.7,12.8,0.38
Bayer Leverkusen,47.28-5.72,40.41+1.41,47.2,40.4,6.8,0.20
Union Berlin,46.00-4.00,43.51+0.51,46.0,43.5,2.5,0.07
Borussia M.Gladbach,54.11-9.89,44.71-11.29,54.1,44.7,9.4,0.28
VfB Stuttgart,52.18-3.82,53.79-1.21,52.1,53.7,-1.6,-0.05
Freiburg,45.11-6.89,52.98+0.98,45.1,52.9,-7.8,-0.23
Hoffenheim,50.32-1.68,52.88-1.12,50.3,52.8,-2.5,-0.07
Mainz 05,48.46+9.46,52.20-3.80,48.4,52.2,-3.8,-0.11
Augsburg,36.01+0.01,57.15+3.15,36.0,57.1,-21.1,-0.62
Hertha Berlin,40.71-0.29,46.69-5.31,40.7,46.6,-5.9,-0.17
Arminia Bielefeld,31.14+5.14,58.98+6.98,31.1,58.9,-27.8,-0.82
FC Cologne,39.64+5.64,53.18-6.82,39.6,53.1,-13.5,-0.40
Werder Bremen,32.51-3.49,53.70-3.30,32.5,53.7,-21.2,-0.62
Schalke 04,27.66+2.66,70.66-15.34,27.6,70.6,-43,-1.26
Bayern Munich,92.85-7.15,36.47+4.47,92.8,36.4,56.4,1.66
Borussia Dortmund,64.26-19.74,42.02+1.02,64.2,42.0,22.2,0.65
RasenBallsport Leipzig,76.13-4.87,37.58+0.58,76.1,37.5,38.6,1.14
Borussia M.Gladbach,73.58+7.58,46.05+6.05,73.5,46.0,27.5,0.81
Bayer Leverkusen,61.88+0.88,49.68+5.68,61.8,49.6,12.2,0.36
Hoffenheim,56.66+3.66,58.75+5.75,56.6,58.7,-2.1,-0.06
Wolfsburg,54.43+6.43,41.91-4.09,54.4,41.9,12.5,0.37
Freiburg,46.14-1.86,63.37+16.37,46.1,63.3,-17.2,-0.51
Eintracht Frankfurt,58.33-0.67,50.93-9.07,58.3,50.9,7.4,0.22
Hertha Berlin,44.30-3.70,55.58-3.42,44.3,55.5,-11.2,-0.33
Union Berlin,41.58+0.58,54.94-3.06,41.5,54.9,-13.4,-0.39
Schalke 04,35.93-2.07,54.22-3.78,35.9,54.2,-18.3,-0.54
Mainz 05,46.19+2.19,62.90-2.10,46.1,62.9,-16.8,-0.49
FC Cologne,49.28-1.72,54.54-14.46,49.2,54.5,-5.3,-0.16
Augsburg,43.86-1.14,59.12-3.88,43.8,59.1,-15.3,-0.45
Werder Bremen,37.74-4.26,56.94-12.06,37.7,56.9,-19.2,-0.56
Fortuna Duesseldorf,35.69-0.31,64.45-2.55,35.6,64.4,-28.8,-0.85
Paderborn,38.47+1.47,67.83-6.17,38.4,67.8,-29.4,-0.86
Bayern Munich,92.24+4.24,27.41-4.59,92.2,27.4,64.8,1.91
Borussia Dortmund,64.99-16.01,42.88-1.12,64.9,42.8,22.1,0.65
RasenBallsport Leipzig,68.25+5.25,39.65+10.65,68.2,39.6,28.6,0.84
Bayer Leverkusen,61.49-7.51,45.71-6.29,61.4,45.7,15.7,0.46
Borussia M.Gladbach,54.93-0.07,52.87+10.87,54.9,52.8,2.1,0.06
Wolfsburg,49.49-12.51,49.84-0.16,49.4,49.8,-0.4,-0.01
Eintracht Frankfurt,61.84+1.84,51.02+3.02,61.8,51.0,10.8,0.32
Werder Bremen,49.36-8.64,56.71+7.71,49.3,56.7,-7.4,-0.22
Hoffenheim,79.95+9.95,53.29+1.29,79.9,53.2,26.7,0.79
Fortuna Duesseldorf,49.47+0.47,63.06-1.94,49.4,63.0,-13.6,-0.40
Hertha Berlin,50.52+1.52,61.58+4.58,50.5,61.5,-11,-0.32
Mainz 05,49.21+3.21,62.80+5.80,49.2,62.8,-13.6,-0.40
Freiburg,41.23-4.77,61.43+0.43,41.2,61.4,-20.2,-0.59
Schalke 04,46.62+9.62,51.94-3.06,46.6,51.9,-5.3,-0.16
Augsburg,47.44-3.56,63.79-7.21,47.4,63.7,-16.3,-0.48
VfB Stuttgart,37.38+5.38,62.70-7.30,37.3,62.7,-25.4,-0.75
Hannover 96,34.81+3.81,73.12+2.12,34.8,73.1,-38.3,-1.13
Nuernberg,35.37+9.37,54.80-13.20,35.3,54.8,-19.5,-0.57
Bayern Munich,76.55-15.45,30.64+2.64,76.5,30.6,45.9,1.35
Schalke 04,46.83-6.17,39.42+2.42,46.8,39.4,7.4,0.22
Hoffenheim,50.72-15.28,45.20-2.80,50.7,45.2,5.5,0.16
Borussia Dortmund,66.10+2.10,40.86-6.14,66.1,40.8,25.3,0.74
Bayer Leverkusen,56.98-1.02,36.92-7.08,56.9,36.9,20,0.59
RasenBallsport Leipzig,51.42-5.58,47.42-5.58,51.4,47.4,4,0.12
VfB Stuttgart,37.91+1.91,39.35+3.35,37.9,39.3,-1.4,-0.04
Eintracht Frankfurt,41.06-3.94,40.91-4.09,41.0,40.9,0.1,0.00
Borussia M.Gladbach,51.25+4.25,52.09+0.09,51.2,52.0,-0.8,-0.02
Hertha Berlin,38.58-4.42,44.71-1.29,38.5,44.7,-6.2,-0.18
Werder Bremen,38.51+1.51,43.47+3.47,38.5,43.4,-4.9,-0.14
Augsburg,42.26-0.74,40.82-5.18,42.2,40.8,1.4,0.04
Hannover 96,41.22-2.78,54.36+0.36,41.2,54.3,-13.1,-0.39
Mainz 05,31.65-6.35,45.18-6.82,31.6,45.1,-13.5,-0.40
Freiburg,36.98+4.98,45.66-10.34,36.9,45.6,-8.7,-0.26
Wolfsburg,32.11-3.89,49.43+1.43,32.1,49.4,-17.3,-0.51
Hamburger SV,36.04+7.04,54.06+1.06,36.0,54.0,-18,-0.53
FC Cologne,41.50+6.50,67.17-2.83,41.5,67.1,-25.6,-0.75
Bayern Munich,73.91-15.09,27.04+5.04,73.9,27.0,46.9,1.38
RasenBallsport Leipzig,55.09-10.91,40.06+1.06,55.0,40.0,15,0.44
Borussia Dortmund,74.91+2.91,34.61-5.39,74.9,34.6,40.3,1.19
Hoffenheim,54.50-9.50,41.44+4.44,54.5,41.4,13.1,0.39
FC Cologne,45.34-5.66,41.27-0.73,45.3,41.2,4.1,0.12
Hertha Berlin,38.15-4.85,49.39+2.39,38.1,49.3,-11.2,-0.33
Freiburg,39.41-2.59,54.62-5.38,39.4,54.6,-15.2,-0.45
Werder Bremen,42.99-18.01,60.55-3.45,42.9,60.5,-17.6,-0.52
Borussia M.Gladbach,45.82+0.82,44.44-4.56,45.8,44.4,1.4,0.04
Schalke 04,44.86-0.14,43.87+3.87,44.8,43.8,1,0.03
Eintracht Frankfurt,43.59+7.59,38.33-4.67,43.5,38.3,5.2,0.15
Bayer Leverkusen,53.10+0.10,50.38-4.62,53.1,50.3,2.8,0.08
Augsburg,33.88-1.12,52.26+1.26,33.8,52.2,-18.4,-0.54
Hamburger SV,31.91-1.09,57.14-3.86,31.9,57.1,-25.2,-0.74
Mainz 05,42.36-1.64,43.23-11.77,42.3,43.2,-0.9,-0.03
Wolfsburg,44.47+10.47,46.85-5.15,44.4,46.8,-2.4,-0.07
Ingolstadt,44.51+8.51,49.19-7.81,44.5,49.1,-4.6,-0.14
Darmstadt,33.91+5.91,68.04+5.04,33.9,68.0,-34.1,-1.00
Bayern Munich,77.04-2.96,20.79+3.79,77.0,20.7,56.3,1.66
Borussia Dortmund,83.41+1.41,29.18-4.82,83.4,29.1,54.3,1.60
Bayer Leverkusen,52.91-3.09,41.24+1.24,52.9,41.2,11.7,0.34
Borussia M.Gladbach,53.67-13.33,49.07-0.93,53.6,49.0,4.6,0.14
Schalke 04,47.13-3.87,47.88-1.12,47.1,47.8,-0.7,-0.02
Mainz 05,47.91+1.91,47.27+5.27,47.9,47.2,0.7,0.02
Hertha Berlin,35.90-6.10,43.94+1.94,35.9,43.9,-8,-0.24
Wolfsburg,49.49+2.49,41.62-7.38,49.4,41.6,7.8,0.23
FC Cologne,42.87+4.87,44.43+2.43,42.8,44.4,-1.6,-0.05
Hamburger SV,38.75-1.25,51.19+5.19,38.7,51.1,-12.4,-0.36
Ingolstadt,41.02+8.02,45.82+3.82,41.0,45.8,-4.8,-0.14
Augsburg,42.39+0.39,55.65+3.65,42.3,55.6,-13.3,-0.39
Werder Bremen,50.12+0.12,51.80-13.20,50.1,51.8,-1.7,-0.05
Darmstadt,39.03+1.03,51.06-1.94,39.0,51.0,-12,-0.35
Hoffenheim,39.55+0.55,60.41+6.41,39.5,60.4,-20.9,-0.61
Eintracht Frankfurt,32.95-1.05,54.31+2.31,32.9,54.3,-21.4,-0.63
VfB Stuttgart,57.70+7.70,65.06-9.94,57.7,65.0,-7.3,-0.21
Hannover 96,32.43+1.43,63.58+1.58,32.4,63.5,-31.1,-0.91
Bayern Munich,66.21-13.79,21.94+3.94,66.2,21.9,44.3,1.30
Wolfsburg,58.35-13.65,38.82+0.82,58.3,38.8,19.5,0.57
Borussia M.Gladbach,51.74-1.26,36.34+10.34,51.7,36.3,15.4,0.45
Bayer Leverkusen,49.16-12.84,34.72-2.28,49.1,34.7,14.4,0.42
Augsburg,43.91+0.91,46.66+3.66,43.9,46.6,-2.7,-0.08
Schalke 04,41.26-0.74,46.96+6.96,41.2,46.9,-5.7,-0.17
Borussia Dortmund,53.86+6.86,33.40-8.60,53.8,33.4,20.4,0.60
Hoffenheim,49.96+0.96,50.00-5.00,49.9,50.0,-0.1,0.00
Eintracht Frankfurt,47.37-8.63,55.04-6.96,47.3,55.0,-7.7,-0.23
Werder Bremen,42.67-7.33,52.38-12.62,42.6,52.3,-9.7,-0.29
Mainz 05,43.91-1.09,48.11+1.11,43.9,48.1,-4.2,-0.12
FC Cologne,32.22-1.78,40.52+0.52,32.2,40.5,-8.3,-0.24
Hannover 96,36.43-3.57,46.28-9.72,36.4,46.2,-9.8,-0.29
VfB Stuttgart,45.64+3.64,48.10-11.90,45.6,48.1,-2.5,-0.07
Hertha Berlin,32.66-3.34,46.20-5.80,32.6,46.2,-13.6,-0.40
Hamburger SV,32.86+7.86,55.83+5.83,32.8,55.8,-23,-0.68
Freiburg,38.69+2.69,45.91-1.09,38.6,45.9,-7.3,-0.21
Paderborn,36.08+5.08,55.77-9.23,36.0,55.7,-19.7,-0.58
Juventus,59.08-12.92,29.13+5.13,59.0,29.1,29.9,0.79
Roma,50.85-3.15,36.79+5.79,50.8,36.7,14.1,0.37
Lazio,62.00-9.00,35.87-2.13,62.0,35.8,26.2,0.69
Fiorentina,60.67-0.33,48.50+2.50,60.6,48.5,12.1,0.32
Napoli,64.50-5.50,34.37-19.63,64.5,34.3,30.2,0.79
Genoa,57.32-4.68,60.37+13.37,57.3,60.3,-3,-0.08
Sampdoria,47.59-0.41,48.37+6.37,47.5,48.3,-0.8,-0.02
Inter,57.17-1.83,44.32-3.68,57.1,44.3,12.8,0.34
Torino,51.78+3.78,42.69-2.31,51.7,42.6,9.1,0.24
AC Milan,47.07-8.93,53.99+3.99,47.0,53.9,-6.9,-0.18
Palermo,54.97+1.97,44.01-10.99,54.9,44.0,10.9,0.29
Sassuolo,42.91-6.09,55.19-1.81,42.9,55.1,-12.2,-0.32
Verona,46.88-2.12,63.41-1.59,46.8,63.4,-16.6,-0.44
Chievo,33.01+5.01,48.99+7.99,33.0,48.9,-15.9,-0.42
Empoli,49.66+3.66,43.42-8.58,49.6,43.4,6.2,0.16
Udinese,34.86-8.14,54.75-1.25,34.8,54.7,-19.9,-0.52
Atalanta,40.94+2.94,59.40+2.40,40.9,59.4,-18.5,-0.49
Cagliari,53.92+5.92,54.17-13.83,53.9,54.1,-0.2,-0.01
Parma,31.77-1.23,60.74-14.26,31.7,60.7,-29,-0.76
Cesena,34.62-1.38,63.08-9.92,34.6,63.0,-28.4,-0.75
Juventus,62.99-12.01,23.00+3.00,62.9,23.0,39.9,1.05
Napoli,69.53-10.47,26.69-5.31,69.5,26.6,42.9,1.13
Roma,64.43-18.57,39.79-1.21,64.4,39.7,24.7,0.65
Inter,54.30+4.30,44.25+6.25,54.3,44.2,10.1,0.27
Fiorentina,53.19-6.81,36.22-5.78,53.1,36.2,16.9,0.44
Sassuolo,47.32-1.68,42.93+2.93,47.3,42.9,4.4,0.12
AC Milan,53.91+4.91,40.91-2.09,53.9,40.9,13,0.34
Lazio,55.21+3.21,43.58-8.42,55.2,43.5,11.7,0.31
Chievo,40.59-2.41,51.09+6.09,40.5,51.0,-10.5,-0.28
Genoa,45.29+0.29,48.63+0.63,45.2,48.6,-3.4,-0.09
Empoli,37.84-2.16,47.51-1.49,37.8,47.5,-9.7,-0.26
Torino,49.42-2.58,41.29-13.71,49.4,41.2,8.2,0.22
Atalanta,46.08+5.08,51.41+4.41,46.0,51.4,-5.4,-0.14
Bologna,35.48+2.48,51.84+6.84,35.4,51.8,-16.4,-0.43
Sampdoria,40.53-7.47,66.19+5.19,40.5,66.1,-25.6,-0.67
Udinese,46.31+11.31,51.42-8.58,46.3,51.4,-5.1,-0.13
Palermo,36.55-1.45,61.84-3.16,36.5,61.8,-25.3,-0.67
Carpi,43.37+6.37,51.80-5.20,43.3,51.8,-8.5,-0.22
Frosinone,33.84-1.16,74.23-1.77,33.8,74.2,-40.4,-1.06
Verona,40.17+6.17,61.71-1.29,40.1,61.7,-21.6,-0.57
Juventus,68.74-8.26,23.60-3.40,68.7,23.6,45.1,1.19
Roma,83.00-7.00,41.08+3.08,83.0,41.0,42,1.11
Napoli,77.51-16.49,32.16-6.84,77.5,32.1,45.4,1.19
Atalanta,61.39-0.61,34.35-6.65,61.3,34.3,27,0.71
Lazio,65.39-8.61,41.77-9.23,65.3,41.7,23.6,0.62
AC Milan,59.67+2.67,50.21+5.21,59.6,50.2,9.4,0.25
Inter,68.76-3.24,44.78-4.22,68.7,44.7,24,0.63
Fiorentina,55.14-7.86,53.30-3.70,55.1,53.3,1.8,0.05
Torino,57.40-13.60,61.72-4.28,57.4,61.7,-4.3,-0.11
Sassuolo,50.57-9.43,61.90+0.90,50.5,61.9,-11.4,-0.30
Sampdoria,46.17-2.83,56.86+1.86,46.1,56.8,-10.7,-0.28
Cagliari,42.42-12.58,68.32-7.68,42.4,68.3,-25.9,-0.68
Udinese,44.94-2.06,54.66-1.34,44.9,54.6,-9.7,-0.26
Chievo,42.74-0.26,55.01-5.99,42.7,55.0,-12.3,-0.32
Bologna,36.51-3.49,58.30+0.30,36.5,58.3,-21.8,-0.57
Genoa,45.20+7.20,51.25-12.75,45.2,51.2,-6,-0.16
Crotone,34.17+0.17,61.23+3.23,34.1,61.2,-27.1,-0.71
Empoli,35.09+6.09,67.01+6.01,35.0,67.0,-32,-0.84
Palermo,28.92-4.08,60.94-16.06,28.9,60.9,-32,-0.84
Pescara,43.12+8.12,68.41-14.59,43.1,68.4,-25.3,-0.67
Juventus,59.23-26.77,28.58+4.58,59.2,28.5,30.7,0.81
Napoli,70.45-6.55,25.27-3.73,70.4,25.2,45.2,1.19
Roma,65.63+4.63,38.46+10.46,65.6,38.4,27.2,0.72
Lazio,66.51-22.49,42.57-6.43,66.5,42.5,24,0.63
Inter,60.83-5.17,37.33+7.33,60.8,37.3,23.5,0.62
AC Milan,50.88-5.12,36.78-5.22,50.8,36.7,14.1,0.37
Atalanta,64.29+7.29,36.50-2.50,64.2,36.5,27.7,0.73
Fiorentina,54.12+0.12,42.15-3.85,54.1,42.1,12,0.32
Torino,46.59-7.41,49.11+3.11,46.5,49.1,-2.6,-0.07
Sampdoria,53.14-2.86,62.26+2.26,53.1,62.2,-9.1,-0.24
Sassuolo,47.15+18.15,50.63-8.37,47.1,50.6,-3.5,-0.09
Genoa,42.21+9.21,42.87-0.13,42.2,42.8,-0.6,-0.02
Udinese,45.17-2.83,50.63-12.37,45.1,50.6,-5.5,-0.14
Chievo,34.34-1.66,55.26-3.74,34.3,55.2,-20.9,-0.55
Bologna,36.11-3.89,48.80-3.20,36.1,48.8,-12.7,-0.33
Cagliari,38.27+5.27,57.91-3.09,38.2,57.9,-19.7,-0.52
SPAL 2013,34.61-4.39,60.18+1.18,34.6,60.1,-25.5,-0.67
Crotone,33.24-6.76,59.43-6.57,33.2,59.4,-26.2,-0.69
Verona,33.76+3.76,72.71-5.29,33.7,72.7,-39,-1.03
Benevento,38.21+5.21,77.31-6.69,38.2,77.3,-39.1,-1.03
Juventus,64.53-5.47,35.03+5.03,64.5,35.0,29.5,0.78
Napoli,68.24-5.76,36.50+0.50,68.2,36.5,31.7,0.83
Atalanta,74.43-2.57,41.85-4.15,74.4,41.8,32.6,0.86
Inter,66.47+9.47,38.40+5.40,66.4,38.4,28,0.74
AC Milan,52.16-2.84,41.70+5.70,52.1,41.7,10.4,0.27
Roma,68.39+2.39,52.79+4.79,68.3,52.7,15.6,0.41
Torino,46.47-5.53,48.94+11.94,46.4,48.9,-2.5,-0.07
Lazio,61.27+5.27,46.45+0.45,61.2,46.4,14.8,0.39
Sampdoria,53.19-6.81,54.27+3.27,53.1,54.2,-1.1,-0.03
Bologna,48.10+0.10,51.06-4.94,48.1,51.0,-2.9,-0.08
Sassuolo,49.75-3.25,61.11+1.11,49.7,61.1,-11.4,-0.30
Udinese,42.49+3.49,62.23+9.23,42.4,62.2,-19.8,-0.52
SPAL 2013,43.28-0.72,54.01-1.99,43.2,54.0,-10.8,-0.28
Fiorentina,54.12+7.12,44.08-0.92,54.1,44.0,10.1,0.27
Cagliari,40.94+4.94,63.74+9.74,40.9,63.7,-22.8,-0.60
Parma Calcio 1913,41.10+0.10,64.98+3.98,41.1,64.9,-23.8,-0.63
Genoa,44.54+5.54,56.35-0.65,44.5,56.3,-11.8,-0.31
Empoli,52.06+1.06,63.33-6.67,52.0,63.3,-11.3,-0.30
Frosinone,36.10+7.10,64.59-4.41,36.1,64.5,-28.4,-0.75
Chievo,36.48+11.48,62.69-12.31,36.4,62.6,-26.2,-0.69
Juventus,73.77-2.23,41.00-2.00,73.7,41.0,32.7,0.86
Inter,73.95-7.05,39.36+3.36,73.9,39.3,34.6,0.91
Atalanta,86.17-11.83,41.73-6.27,86.1,41.7,44.4,1.17
Lazio,67.55-11.45,52.33+10.33,67.5,52.3,15.2,0.40
Roma,78.32+1.32,49.15-1.85,78.3,49.1,29.2,0.77
AC Milan,65.27+2.27,46.42+0.42,65.2,46.4,18.8,0.49
Napoli,63.88+2.88,43.17-6.83,63.8,43.1,20.7,0.54
Sassuolo,53.42-15.58,65.07+2.07,53.4,65.0,-11.6,-0.31
Fiorentina,53.49+2.49,50.30+2.30,53.4,50.3,3.1,0.08
Parma Calcio 1913,47.12-8.88,64.13+7.13,47.1,64.1,-17,-0.45
Verona,52.49+5.49,53.95+2.95,52.4,53.9,-1.5,-0.04
Bologna,57.41+5.41,54.87-10.13,57.4,54.8,2.6,0.07
Cagliari,41.92-10.08,60.98+4.98,41.9,60.9,-19,-0.50
Udinese,43.69+6.69,52.54+1.54,43.6,52.5,-8.9,-0.23
Sampdoria,48.92+0.92,56.21-8.79,48.9,56.2,-7.3,-0.19
Torino,43.49-2.51,63.49-4.51,43.4,63.4,-20,-0.53
Genoa,49.89+2.89,59.51-13.49,49.8,59.5,-9.7,-0.26
Lecce,53.47+1.47,91.97+6.97,53.4,91.9,-38.5,-1.01
Brescia,43.25+8.25,78.38-0.62,43.2,78.3,-35.1,-0.92
SPAL 2013,39.07+12.07,71.97-5.,39.0,71.9,-32.9,-0.87
Inter,78.35-10.65,40.59+5.59,78.3,40.5,37.8,0.99
AC Milan,75.05+1.05,48.84+7.84,75.0,48.8,26.2,0.69
Atalanta,82.01-7.99,39.94-7.06,82.0,39.9,42.1,1.11
Juventus,83.53+6.53,38.33+0.33,83.5,38.3,45.2,1.19
Napoli,74.98-11.02,41.88+0.88,74.9,41.8,33.1,0.87
Lazio,58.70-2.30,48.84-6.16,58.7,48.8,9.9,0.26
Roma,72.11+4.11,50.33-4.67,72.1,50.3,21.8,0.57
Sassuolo,61.61-2.39,54.82-1.18,61.6,54.8,6.8,0.18
Sampdoria,46.70-5.30,58.63+4.63,46.7,58.6,-11.9,-0.31
Verona,47.97+4.97,52.45+4.45,47.9,52.4,-4.5,-0.12
Genoa,40.71-6.29,62.68+4.68,40.7,62.6,-21.9,-0.58
Bologna,57.53+6.53,67.59+2.59,57.5,67.5,-10,-0.26
Fiorentina,46.20-0.80,62.02+3.02,46.2,62.0,-15.8,-0.42
Udinese,48.24+6.24,56.38-1.62,48.2,56.3,-8.1,-0.21
Spezia,47.90-4.10,70.59-1.41,47.9,70.5,-22.6,-0.59
Cagliari,45.60+2.60,65.26+6.26,45.6,65.2,-19.6,-0.52
Torino,49.60-0.40,64.22-4.78,49.6,64.2,-14.6,-0.38
Benevento,38.65-1.35,70.48-4.52,38.6,70.4,-31.8,-0.84
Crotone,39.64-5.36,77.48-14.52,39.6,77.4,-37.8,-0.99
Parma Calcio 1913,42.98+3.98,66.69-16.31,42.9,66.6,-23.7,-0.62
