Team,xG,xGA,xG,xGA,xGD,xGD/90
AC Milan,67.34-1.66,34.63+3.63,67.3,34.6,32.7,0.86
Inter,90.38+6.38,39.88+7.88,90.3,39.8,50.5,1.33
Napoli,63.64-10.36,34.40+3.40,63.6,34.4,29.2,0.77
Juventus,60.83+3.83,40.44+3.44,60.8,40.4,20.4,0.54
Lazio,59.29-17.71,50.10-7.90,59.2,50.1,9.1,0.24
Roma,66.80+7.80,42.05-0.95,66.8,42.0,24.8,0.65
Fiorentina,62.04+3.04,45.23-5.77,62.0,45.2,16.8,0.44
Atalanta,68.72+3.72,46.60-1.40,68.7,46.6,22.1,0.58
Verona,56.39-8.61,52.04-6.96,56.3,52.0,4.3,0.11
Torino,53.75+7.75,41.11+0.11,53.7,41.1,12.6,0.33
Sassuolo,59.36-4.64,69.96+3.96,59.3,69.9,-10.6,-0.28
Udinese,57.17-3.83,54.01-3.99,57.1,54.0,3.1,0.08
Bologna,45.55+1.55,58.05+3.05,45.5,58.0,-12.5,-0.33
Empoli,45.52-4.48,74.82+4.82,45.5,74.8,-29.3,-0.77
Sampdoria,39.09-6.91,62.11-0.89,39.0,62.1,-23.1,-0.61
Spezia,41.65+0.65,69.55-1.45,41.6,69.5,-27.9,-0.73
Salernitana,39.49+6.49,71.42-6.58,39.4,71.4,-32,-0.84
Cagliari,40.74+6.74,68.56+0.56,40.7,68.5,-27.8,-0.73
Genoa,38.53+11.53,60.12+0.12,38.5,60.1,-21.6,-0.57
Venezia,36.16+2.16,77.36,36.1,77.3,-41.2,-1.08
Napoli,71.73-5.27,31.96+3.96,71.7,31.9,39.8,1.05
Lazio,54.31-5.69,42.65+12.65,54.3,42.6,11.7,0.31
Inter,71.97+0.97,36.05-5.95,71.9,36.0,35.9,0.94
Juventus,59.74+3.74,40.98+7.98,59.7,40.9,18.8,0.49
AC Milan,69.90+5.90,40.11-2.89,69.9,40.1,29.8,0.78
Atalanta,60.49-5.51,45.01-2.99,60.4,45.0,15.4,0.41
Roma,64.02+14.02,32.90-5.10,64.0,32.9,31.1,0.82
Fiorentina,56.90+3.90,48.92+5.92,56.9,48.9,8,0.21
Bologna,45.29-7.71,55.54+6.54,45.2,55.5,-10.3,-0.27
Torino,47.32+5.32,39.99-1.01,47.3,39.9,7.4,0.19
Monza,44.81-3.19,55.26+3.26,44.8,55.2,-10.4,-0.27
Udinese,47.56+0.56,51.30+3.30,47.5,51.3,-3.8,-0.10
Sassuolo,51.50+4.50,51.94-9.06,51.5,51.9,-0.4,-0.01
Empoli,41.25+4.25,63.94+14.94,41.2,63.9,-22.7,-0.60
Salernitana,35.44-12.56,72.61+10.61,35.4,72.6,-37.2,-0.98
Lecce,36.93+3.93,43.47-2.53,36.9,43.4,-6.5,-0.17
Verona,37.27+6.27,52.83-6.17,37.2,52.8,-15.6,-0.41
Spezia,40.64+9.64,63.82+1.82,40.6,63.8,-23.2,-0.61
Cremonese,36.59+0.59,69.55+0.55,36.5,69.5,-33,-0.87
Sampdoria,35.10+11.10,69.92-1.08,35.1,69.9,-34.8,-0.92
Inter,85.83-3.17,33.39+11.39,85.8,33.3,52.5,1.38
AC Milan,71.86-4.14,47.73-1.27,71.8,47.7,24.1,0.63
Juventus,63.48+9.48,31.77+0.77,63.4,31.7,31.7,0.83
Atalanta,68.47-3.53,44.31+2.31,68.4,44.3,24.1,0.63
Bologna,54.03+0.03,39.70+7.70,54.0,39.7,14.3,0.38
Roma,56.92-8.08,47.03+1.03,56.9,47.0,9.9,0.26
Lazio,51.39+2.39,45.26+6.26,51.3,45.2,6.1,0.16
Fiorentina,58.11-2.89,54.97+8.97,58.1,54.9,3.2,0.08
Napoli,68.49+13.49,41.89-6.11,68.4,41.8,26.6,0.70
Torino,43.29+7.29,38.76+2.76,43.2,38.7,4.5,0.12
Genoa,38.69-6.31,47.77+2.77,38.6,47.7,-9.1,-0.24
Monza,45.55+6.55,63.83+12.83,45.5,63.8,-18.3,-0.48
Verona,38.46+0.46,58.52+7.52,38.4,58.5,-20.1,-0.53
Lecce,47.62+15.62,65.39+11.39,47.6,65.3,-17.7,-0.47
Udinese,44.88+7.88,53.15+0.15,44.8,53.1,-8.3,-0.22
Empoli,38.06+9.06,58.71+4.71,38.0,58.7,-20.7,-0.54
Cagliari,45.44+3.44,62.56-5.44,45.4,62.5,-17.1,-0.45
Frosinone,50.20+6.20,65.05-3.95,50.2,65.0,-14.8,-0.39
Sassuolo,43.53+0.53,66.92-8.08,43.5,66.9,-23.4,-0.62
Salernitana,31.45-0.55,79.03-1.97,31.4,79.0,-47.6,-1.25
Napoli,51.31-2.69,30.23+5.23,51.3,30.2,21.1,0.62
Inter,68.78-3.22,36.54+3.54,68.7,36.5,32.2,0.95
Atalanta,70.47+3.47,36.66+5.66,70.4,36.6,33.8,0.99
Juventus,51.97+0.97,32.08+1.08,51.9,32.0,19.9,0.59
Bologna,54.28+2.28,36.54-0.46,54.2,36.5,17.7,0.52
Roma,56.28+7.28,42.26+10.26,56.2,42.2,14,0.41
Lazio,58.61+1.61,39.82-5.18,58.6,39.8,18.8,0.55
Fiorentina,47.86-5.14,40.37+6.37,47.8,40.3,7.5,0.22
AC Milan,62.88+9.88,44.27+6.27,62.8,44.2,18.6,0.55
Torino,32.92-5.08,49.62+10.62,32.9,49.6,-16.7,-0.49
Como,43.88-0.12,42.31-5.69,43.8,42.3,1.5,0.04
Udinese,39.15+3.15,50.66+2.66,39.1,50.6,-11.5,-0.34
Genoa,36.21+7.21,47.58+6.58,36.2,47.5,-11.3,-0.33
Cagliari,43.70+8.70,55.82+6.82,43.7,55.8,-12.1,-0.36
Parma Calcio 1913,41.68+1.68,61.41+8.41,41.6,61.4,-19.8,-0.58
Verona,34.15+4.15,55.33-6.67,34.1,55.3,-21.2,-0.62
Lecce,33.78+9.78,61.10+5.10,33.7,61.1,-27.4,-0.81
Venezia,36.50+9.50,57.76+9.76,36.5,57.7,-21.2,-0.62
Empoli,33.95+6.95,49.39-4.61,33.9,49.3,-15.4,-0.45
Monza,28.12+3.12,56.77-2.23,28.1,56.7,-28.6,-0.84
Paris Saint Germain,95.77+11.77,33.48+2.48,95.7,33.4,62.3,2.01
Marseille,61.19-4.81,48.28+5.28,61.1,48.2,12.9,0.42
Lille,55.59+6.59,42.33+10.33,55.5,42.3,13.2,0.43
Monaco,73.11+15.11,34.33-1.67,73.1,34.3,38.8,1.25
Lyon,59.65-2.35,45.30+3.30,59.6,45.3,14.3,0.46
Nice,59.37+0.37,41.36+2.36,59.3,41.3,18,0.58
Strasbourg,49.94-1.06,55.59+17.59,49.9,55.5,-5.6,-0.18
Lens,54.53+19.53,45.08+8.08,54.5,45.0,9.5,0.31
Brest,48.86-0.14,58.97+5.97,48.8,58.9,-10.1,-0.33
Auxerre,40.93-4.07,57.00+12.00,40.9,57.0,-16.1,-0.52
Rennes,48.75+2.75,44.48+0.48,48.7,44.4,4.3,0.14
Toulouse,48.93+10.93,35.67-3.33,48.9,35.6,13.3,0.43
Reims,39.53+7.53,59.02+17.02,39.5,59.0,-19.5,-0.63
Nantes,40.93+5.93,58.10+8.10,40.9,58.1,-17.2,-0.55
Angers,36.99+7.99,60.01+10.01,36.9,60.0,-23.1,-0.75
Le Havre,40.45+6.45,64.72-0.28,40.4,64.7,-24.3,-0.78
Saint-Etienne,37.28+3.28,77.24+6.24,37.2,77.2,-40,-1.29
Montpellier,36.84+14.84,67.69-3.31,36.8,67.6,-30.8,-0.99
Paris Saint Germain,72.88-8.12,45.71+12.71,72.8,45.7,27.1,0.80
Monaco,65.06-2.94,46.27+4.27,65.0,46.2,18.8,0.55
Brest,51.95-1.05,40.68+6.68,51.9,40.6,11.3,0.33
Lille,55.32+3.32,40.57+6.57,55.3,40.5,14.8,0.44
Nice,54.81+14.81,36.49+7.49,54.8,36.4,18.4,0.54
Lyon,55.28+6.28,55.04+0.04,55.2,55.0,0.2,0.01
Lens,62.08+17.08,49.46+12.46,62.0,49.4,12.6,0.37
Marseille,60.03+8.03,37.62-3.38,60.0,37.6,22.4,0.66
Reims,47.98+5.98,49.95+2.95,47.9,49.9,-2,-0.06
Rennes,56.00+3.00,44.19-1.81,56.0,44.1,11.9,0.35
Toulouse,44.85+2.85,49.26+3.26,44.8,49.2,-4.4,-0.13
Montpellier,50.62+7.62,56.84+8.84,50.6,56.8,-6.2,-0.18
Strasbourg,42.69+4.69,51.22+1.22,42.6,51.2,-8.6,-0.25
Nantes,39.44+9.44,60.46+5.46,39.4,60.4,-21,-0.62
Le Havre,39.05+5.05,55.30+10.30,39.0,55.3,-16.3,-0.48
Lorient,38.96-4.04,61.00-5.00,38.9,61.0,-22.1,-0.65
Metz,34.37-0.63,58.87+0.87,34.3,58.8,-24.5,-0.72
Clermont Foot,35.69+9.69,68.15+8.15,35.6,68.1,-32.5,-0.96
Paris Saint Germain,86.15-2.85,47.11+7.11,86.1,47.1,39,1.03
Lens,69.93+1.93,44.56+15.56,69.9,44.5,25.4,0.67
Marseille,72.94+5.94,45.30+5.30,72.9,45.3,27.6,0.73
Rennes,64.24-4.76,43.14+4.14,64.2,43.1,21.1,0.56
Lille,74.23+9.23,42.00-2.00,74.2,42.0,32.2,0.85
Monaco,65.36-4.64,56.14-1.86,65.3,56.1,9.2,0.24
Lyon,69.79+4.79,50.74+3.74,69.7,50.7,19,0.50
Clermont Foot,49.65+4.65,59.44+10.44,49.6,59.4,-9.8,-0.26
Nice,59.22+11.22,44.16+7.16,59.2,44.1,15.1,0.40
Lorient,47.35-4.65,60.97+7.97,47.3,60.9,-13.6,-0.36
Reims,59.52+14.52,54.97+9.97,59.5,54.9,4.6,0.12
Montpellier,52.56-12.44,67.25+5.25,52.5,67.2,-14.7,-0.39
Toulouse,59.77+8.77,59.33+2.33,59.7,59.3,0.4,0.01
Brest,41.40-2.60,58.09+4.09,41.4,58.0,-16.6,-0.44
Strasbourg,52.79+1.79,55.93-3.07,52.7,55.9,-3.2,-0.08
Nantes,44.62+7.62,58.41+3.41,44.6,58.4,-13.8,-0.36
Auxerre,40.21+5.21,65.01+2.01,40.2,65.0,-24.8,-0.65
Ajaccio,31.06+8.06,56.13-17.87,31.0,56.1,-25.1,-0.66
Troyes,36.71-8.29,83.79+2.79,36.7,83.7,-47,-1.24
Angers,41.04+8.04,66.07-14.93,41.0,66.0,-25,-0.66
Paris Saint Germain,82.34-7.66,38.00+2.00,82.3,38.0,44.3,1.17
Marseille,59.87-3.13,42.79+4.79,59.8,42.7,17.1,0.45
Monaco,63.58-1.42,42.51+2.51,63.5,42.5,21,0.55
Nice,59.60+7.60,44.95+8.95,59.6,44.9,14.7,0.39
Rennes,68.24-13.76,43.77+3.77,68.2,43.7,24.5,0.64
Strasbourg,61.20+1.20,44.68+1.68,61.2,44.6,16.6,0.44
Lyon,73.32+7.32,54.69+3.69,73.3,54.6,18.7,0.49
Lens,52.24-9.76,43.70-4.30,52.2,43.7,8.5,0.22
Nantes,45.77-9.23,53.53+5.53,45.7,53.5,-7.8,-0.21
Lille,56.39+8.39,36.97-11.03,56.3,36.9,19.4,0.51
Brest,44.85-4.15,60.57+3.57,44.8,60.5,-15.7,-0.41
Reims,40.01-2.99,47.79+3.79,40.0,47.7,-7.7,-0.20
Montpellier,42.47-6.53,57.50-3.50,42.4,57.5,-15.1,-0.40
Angers,45.21+1.21,51.69-3.31,45.2,51.6,-6.4,-0.17
Troyes,39.66+2.66,52.99-0.01,39.6,52.9,-13.3,-0.35
Lorient,39.32+4.32,54.50-8.50,39.3,54.5,-15.2,-0.40
Clermont Foot,42.07+4.07,55.85-13.15,42.0,55.8,-13.8,-0.36
Saint-Etienne,40.18-1.82,64.76-12.24,40.1,64.7,-24.6,-0.65
Metz,30.15-4.85,71.65+2.65,30.1,71.6,-41.5,-1.09
Bordeaux,46.28-5.72,69.82-21.18,46.2,69.8,-23.6,-0.62
Lille,48.07-15.93,25.68+2.68,48.0,25.6,22.4,0.59
Paris Saint Germain,83.89-2.11,36.85+8.85,83.8,36.8,47,1.24
Monaco,70.35-5.65,33.95-8.05,70.3,33.9,36.4,0.96
Lyon,82.37+1.37,38.42-4.58,82.3,38.4,43.9,1.16
Marseille,49.29-4.71,46.49-0.51,49.2,46.4,2.8,0.07
Rennes,46.75-5.25,36.06-3.94,46.7,36.0,10.7,0.28
Lens,56.36+1.36,46.41-7.59,56.3,46.4,9.9,0.26
Montpellier,52.27-7.73,67.22+5.22,52.2,67.2,-15,-0.39
Nice,46.37-3.63,56.18+3.18,46.3,56.1,-9.8,-0.26
Metz,42.26-1.74,48.40+0.40,42.2,48.4,-6.2,-0.16
Saint-Etienne,47.28+5.28,49.15-4.85,47.2,49.1,-1.9,-0.05
Bordeaux,43.55+1.55,54.87-1.13,43.5,54.8,-11.3,-0.30
Angers,39.92-0.08,52.81-5.19,39.9,52.8,-12.9,-0.34
Reims,33.23-8.77,61.79+11.79,33.2,61.7,-28.5,-0.75
Strasbourg,52.78+3.78,50.22-7.78,52.7,50.2,2.5,0.07
Lorient,48.15-1.85,52.48-15.52,48.1,52.4,-4.3,-0.11
Brest,45.77-4.23,58.02-7.98,45.7,58.0,-12.3,-0.32
Nantes,48.27+1.27,54.89-0.11,48.2,54.8,-6.6,-0.17
Nimes,41.39+1.39,64.17-6.83,41.3,64.1,-22.8,-0.60
Dijon,31.85+6.85,76.12+3.12,31.8,76.1,-44.3,-1.17
Paris Saint Germain,95.34-9.66,36.78+1.78,95.3,36.7,58.6,1.54
Lille,60.01-7.99,39.85+6.85,60.0,39.8,20.2,0.53
Lyon,72.71+2.71,44.71-2.29,72.7,44.7,28,0.74
Saint-Etienne,57.85-1.15,48.81+7.81,57.8,48.8,9,0.24
Marseille,52.08-7.92,44.59-7.41,52.0,44.5,7.5,0.20
Montpellier,46.62-6.38,41.26-0.74,46.6,41.2,5.4,0.14
Nice,43.45+13.45,49.73+14.73,43.4,49.7,-6.3,-0.17
Reims,37.12-1.88,42.28+0.28,37.1,42.2,-5.1,-0.13
Nimes,48.50-8.50,55.47-2.53,48.5,55.4,-6.9,-0.18
Rennes,56.05+1.05,46.19-5.81,56.0,46.1,9.9,0.26
Strasbourg,40.59-17.41,48.51+0.51,40.5,48.5,-8,-0.21
Nantes,48.04+0.04,47.30-0.70,48.0,47.3,0.7,0.02
Angers,47.50+3.50,46.31-2.69,47.5,46.3,1.2,0.03
Bordeaux,37.27+3.27,52.19+10.19,37.2,52.1,-14.9,-0.39
Amiens,34.63+3.63,46.76-5.24,34.6,46.7,-12.1,-0.32
Toulouse,42.73+7.73,56.42-0.58,42.7,56.4,-13.7,-0.36
Monaco,46.49+8.49,48.76-8.24,46.4,48.7,-2.3,-0.06
Dijon,36.13+5.13,57.61-2.39,36.1,57.6,-21.5,-0.57
Caen,26.97-2.03,61.09+7.09,26.9,61.0,-34.1,-0.90
Guingamp,39.46+11.46,54.94-13.06,39.4,54.9,-15.5,-0.41
Paris Saint Germain,89.92-18.08,32.10+3.10,89.9,32.1,57.8,1.52
Monaco,62.41-22.59,45.27+0.27,62.4,45.2,17.2,0.45
Lyon,65.27-21.73,37.09-5.91,65.2,37.0,28.2,0.74
Marseille,82.20+2.20,41.17-5.83,82.2,41.1,41.1,1.08
Rennes,46.97-3.03,49.14+5.14,46.9,49.1,-2.2,-0.06
Bordeaux,52.56-0.44,41.38-6.62,52.5,41.3,11.2,0.29
Saint-Etienne,51.03+4.03,53.26+3.26,51.0,53.2,-2.2,-0.06
Nice,47.36-5.64,45.90-6.10,47.3,45.9,1.4,0.04
Nantes,39.80+3.80,36.26-4.74,39.8,36.2,3.6,0.09
Montpellier,39.81+3.81,37.93+4.93,39.8,37.9,1.9,0.05
Dijon,40.03-14.97,62.95-10.05,40.0,62.9,-22.9,-0.60
Guingamp,41.86-6.14,50.51-8.49,41.8,50.5,-8.7,-0.23
Amiens,31.47-5.53,51.70+9.70,31.4,51.7,-20.3,-0.53
Angers,46.15+4.15,45.19-6.81,46.1,45.1,1,0.03
Strasbourg,43.27-0.73,58.33-8.67,43.2,58.3,-15.1,-0.40
Caen,41.17+14.17,47.83-4.17,41.1,47.8,-6.7,-0.18
Lille,36.13-4.87,59.37-7.63,36.1,59.3,-23.2,-0.61
Toulouse,43.29+5.29,54.45+0.45,43.2,54.4,-11.2,-0.29
Troyes,37.13+5.13,52.47-6.53,37.1,52.4,-15.3,-0.40
Metz,36.40+2.40,71.93-4.07,36.4,71.9,-35.5,-0.93
Monaco,76.04-30.96,34.89+3.89,76.0,34.8,41.2,1.08
Paris Saint Germain,82.16-0.84,24.25-2.75,82.1,24.2,57.9,1.52
Nice,51.54-11.46,50.89+14.89,51.5,50.8,0.7,0.02
Lyon,71.13-8.87,41.03-6.97,71.1,41.0,30.1,0.79
Marseille,53.83-3.17,47.33+6.33,53.8,47.3,6.5,0.17
Bordeaux,52.02-0.98,44.11+1.11,52.0,44.1,7.9,0.21
Nantes,42.99+2.99,44.62-9.38,42.9,44.6,-1.7,-0.04
Saint-Etienne,42.92+1.92,50.26+8.26,42.9,50.2,-7.3,-0.19
Rennes,41.81+5.81,43.54+1.54,41.8,43.5,-1.7,-0.04
Guingamp,47.14+1.14,52.31-0.69,47.1,52.3,-5.2,-0.14
Lille,44.08+4.08,48.77+1.77,44.0,48.7,-4.7,-0.12
Angers,46.19+6.19,41.02-7.98,46.1,41.0,5.1,0.13
Toulouse,41.19+4.19,42.98+1.98,41.1,42.9,-1.8,-0.05
Metz,34.76-4.24,63.68-8.32,34.7,63.6,-28.9,-0.76
Montpellier,44.20-3.80,52.03-13.97,44.2,52.0,-7.8,-0.21
Dijon,38.59-7.41,62.66+4.66,38.5,62.6,-24.1,-0.63
Caen,45.28+9.28,56.47-8.53,45.2,56.4,-11.2,-0.29
Lorient,44.46+0.46,51.88-18.12,44.4,51.8,-7.4,-0.19
Nancy,32.58+3.58,54.45+2.45,32.5,54.4,-21.9,-0.58
SC Bastia,32.27+3.27,58.01+1.01,32.2,58.0,-25.8,-0.68
Paris Saint Germain,86.20-15.80,24.37+5.37,86.2,24.3,61.9,1.63
Lyon,63.01-3.99,38.01-4.99,63.0,38.0,25,0.66
Monaco,58.13+1.13,48.81-1.19,58.1,48.8,9.3,0.24
Nice,45.23-12.77,47.71+6.71,45.2,47.7,-2.5,-0.07
Lille,41.69+2.69,35.79+8.79,41.6,35.7,5.9,0.16
Saint-Etienne,45.46+3.46,44.66+7.66,45.4,44.6,0.8,0.02
Caen,43.90+4.90,49.69-2.31,43.9,49.6,-5.7,-0.15
Rennes,42.91-9.09,47.02-6.98,42.9,47.0,-4.1,-0.11
Angers,36.58-3.42,41.02+3.02,36.5,41.0,-4.5,-0.12
SC Bastia,29.51-6.49,48.36+6.36,29.5,48.3,-18.8,-0.49
Bordeaux,46.36-3.64,48.67-8.33,46.3,48.6,-2.3,-0.06
Montpellier,43.14-5.86,44.33-2.67,43.1,44.3,-1.2,-0.03
Marseille,48.89+0.89,42.67+0.67,48.8,42.6,6.2,0.16
Nantes,36.40+3.40,42.44-1.56,36.4,42.4,-6,-0.16
Lorient,42.31-4.69,52.31-5.69,42.3,52.3,-10,-0.26
Guingamp,41.35-5.65,46.27-9.73,41.3,46.2,-4.9,-0.13
Toulouse,50.33+5.33,39.80-15.20,50.3,39.8,10.5,0.28
Reims,42.87-1.13,52.92-4.08,42.8,52.9,-10.1,-0.27
GFC Ajaccio,32.52-4.48,45.26-12.74,32.5,45.2,-12.7,-0.33
Troyes,36.59+8.59,73.28-9.72,36.5,73.2,-36.7,-0.97
Paris Saint Germain,78.42-4.58,28.24-7.76,78.4,28.2,50.2,1.32
Lyon,62.85-9.15,41.71+8.71,62.8,41.7,21.1,0.56
Monaco,56.61+5.61,37.62+11.62,56.6,37.6,19,0.50
Marseille,60.63-15.37,36.41-5.59,60.6,36.4,24.2,0.64
Saint-Etienne,46.49-4.51,38.24+8.24,46.4,38.2,8.2,0.22
Bordeaux,48.21+1.21,43.09-0.91,48.2,43.0,5.2,0.14
Montpellier,45.39-0.61,42.45+3.45,45.3,42.4,2.9,0.08
Lille,40.92-2.08,44.22+2.22,40.9,44.2,-3.3,-0.09
Rennes,37.44+2.44,38.92-3.08,37.4,38.9,-1.5,-0.04
Guingamp,37.85-3.15,45.12-9.88,37.8,45.1,-7.3,-0.19
Nice,45.19+1.19,48.00-5.00,45.1,48.0,-2.9,-0.08
SC Bastia,30.25-6.75,44.64-1.36,30.2,44.6,-14.4,-0.38
Caen,41.40-12.60,59.07+4.07,41.4,59.0,-17.6,-0.46
Nantes,36.08+7.08,39.62-0.38,36.0,39.6,-3.6,-0.09
Reims,43.45-3.55,58.57-7.43,43.4,58.5,-15.1,-0.40
Lorient,41.04-2.96,52.50+2.50,41.0,52.5,-11.5,-0.30
Toulouse,40.67-2.33,45.67-18.33,40.6,45.6,-5,-0.13
Evian Thonon Gaillard,33.90-7.10,54.61-7.39,33.9,54.6,-20.7,-0.54
Metz,37.52+6.52,48.69-12.31,37.5,48.6,-11.1,-0.29
Lens,38.41+6.41,55.32-5.68,38.4,55.3,-16.9,-0.44